RA,Dec,Vel,z,Cl_d,Delta,Rf,plt.mjd.fiber,M(parn),M(ave),M(IPn),M(IP),Act
10.494255,-9.486329,17220,NA,0.67,0.76131,-18.902,No_SDSS_Spec,1.97692,Sa,1.0,S0,UNK
10.49445,-9.286904,18353,NA,0.14,1.95434,-18.939,No_SDSS_Spec,1.13333,S0,1.0,S0,UNK
10.49877,-9.416269,16802,NA,0.43,1.2052,-19.027,No_SDSS_Spec,1.15,S0,2.5,Sa/Sb,UNK
10.499295,-9.708637,15500,NA,1.47,0.8579,-19.383,No_SDSS_Spec,4.76923,Sdm,4.5,Sc/Sdm,UNK
10.499535,-9.652776,15761,NA,1.27,2.44899,-21.312,No_SDSS_Spec,1.86667,Sa,2.0,Sa,UNK
10.50222,-9.200684,17863,0.059514,0.4,1.05785,-19.944,0655.52162.505,1.13333,S0,1.0,S0,NoE
10.50258,-9.834542,15648,0.052117,1.92,1.15266,-21.509,0655.52162.175,1.26667,S0/Sa,3.0,Sb,LLA
10.509,-9.671556,14097,NA,1.34,1.69226,-19.911,No_SDSS_Spec,5.5,Sdm/Im,2.5,Sa/Sb,UNK
10.50909,-9.241038,16051,0.053547,0.28,2.28712,-19.456,0655.52162.501,1.63333,S0/Sa,0.3,E,NoE
10.510395,-9.144575,16800,0.05602,0.6,0.28285,-19.73,0655.52162.571,1.12,S0,2.5,Sa/Sb,LLA
10.51365,-9.471066,15672,0.052177,0.64,0.83624,-20.8,0656.52148.381,0.6875,E/S0,2.0,Sa,NoE
10.51983,-9.132468,15910,0.053086,0.65,0.33637,-19.376,0655.52162.568,1.35455,S0/Sa,1.0,S0,NoE
10.521,-9.534405,15832,0.052889,0.86,1.21792,-21.819,0655.52162.555,2.36923,Sa/Sb,4.0,Sc,TO
10.522815,-9.745073,17338,NA,1.61,0.63162,-18.826,No_SDSS_Spec,0.742857,E/S0,1.0,S0,UNK
10.523325,-9.733388,17564,0.058579,1.57,0.8579,-19.499,0655.52162.158,2.3375,Sa/sb,3.0,Sb,LLA
10.52379,-9.239088,17021,NA,0.33,1.88415,-18.781,No_SDSS_Spec,1.97,Sa,1.0,S0,UNK
10.524435,-9.044638,16667,0.055477,0.96,0.49657,-21.129,0655.52162.564,0.416667,E,0.7,E/S0,NoE
10.525035,-9.60181,15865,0.052851,1.1,1.80229,-20.531,0656.52148.399,2.17,Sa,3.0,Sb,LLA
10.52643,-9.559781,15800,NA,0.96,1.39285,-18.797,No_SDSS_Spec,4.04167,Sc,4.5,Sc/Sdm,UNK
10.53009,-9.872794,17009,0.056662,2.07,1.01839,-20.867,0655.52162.150,0.7,E/S0,2.0,Sa,NoE
10.530165,-9.607208,14215,NA,1.13,3.12354,-18.447,No_SDSS_Spec,4.375,Sc/Sdm,4.5,Sc/Sdm,UNK
10.53066,-9.238499,16647,0.055659,0.34,2.59577,-19.759,0655.52162.548,1.68462,S0/Sa,1.0,S0,NoE
