HIP	Vmag	RA	DE	Plx	pmRA	pmDE	e_Plx	B-V	V-I
 13782	 5.44	 44.34875521	-23.86207670	  20.54	  101.47	  -35.81	  0.71	 0.238	 0.27
 13785	 9.33	 44.36792795	 52.47761573	  24.81	  393.77	 -146.04	  9.61	 0.809	 0.85
 13790	10.33	 44.38803310	-26.26828705	  29.23	  174.55	    5.00	  1.87	 1.233	 1.39
 13801	 9.87	 44.42824116	 23.96260494	  16.51	  -25.05	  -92.03	  1.51	 0.774	 0.81
 13804	 9.01	 44.44158966	 44.52408691	  13.93	   49.87	   18.77	  5.07	 0.748	 0.79
 13806	 8.92	 44.44394488	 29.66157319	  25.77	  188.82	  -46.08	  1.39	 0.855	 0.90
 13834	 5.80	 44.52114653	 20.66881016	  31.41	  234.79	  -31.64	  0.84	 0.415	 0.45
 13847	 2.88	 44.56548180	-40.30473491	  20.22	  -53.53	   25.71	  0.54	 0.128	 0.17
 13848	 9.22	 44.56631282	-28.36871523	  14.78	  315.61	   23.98	  1.29	 0.794	 0.84
 13855	 8.78	 44.59891963	 19.22943106	  13.57	   48.54	  -60.45	  1.39	 0.652	 0.72
 13875	 9.48	 44.67612092	 35.56095677	  25.26	  -23.89	 -209.37	  1.46	 1.050	 1.10
 13886	10.31	 44.70419381	-54.80446583	  29.17	   72.30	  101.82	  1.89	 1.364	 1.36
 13891	 8.21	 44.71850136	 26.77377289	  35.00	  -16.08	  124.66	  1.17	 0.871	 0.91
 13896	 9.16	 44.73133441	-10.94957259	  14.33	  146.21	   60.92	  1.24	 0.580	 0.65
 13902	 7.39	 44.74595074	-43.74792350	  25.68	   51.27	 -166.54	  0.70	 0.590	 0.66
 13908	 8.42	 44.78385816	-40.72336251	  14.60	   21.98	  -51.28	  0.88	 0.651	 0.71
 13926	 9.36	 44.85405113	-54.25469618	  18.00	  -68.95	   -6.29	  0.95	 0.770	 0.81
 13934	 8.81	 44.88324449	 80.25087324	  17.79	  157.78	 -103.36	  0.92	 0.712	 0.77
 13938	 7.76	 44.89320408	 -4.11634048	  14.15	  227.80	  -13.50	  1.26	 0.508	 0.58
 13942	 5.69	 44.90027293	-25.27433851	  30.92	  181.75	   84.67	  0.77	 0.427	 0.49
 13955	 8.71	 44.92983438	-23.38167221	  14.91	   19.22	   -4.75	  1.14	 0.583	 0.65
 13957	 9.72	 44.93799104	  0.62489825	  15.54	  -96.12	 -159.96	  1.70	 0.689	 0.75
 13975	 8.65	 45.00328715	-58.23988544	  13.69	   14.37	  -36.55	  0.66	 0.597	 0.67
 13976	 7.97	 45.01091188	  7.74970382	  42.66	  329.79	   19.67	  1.22	 0.926	 0.97
 13977	10.03	 45.01252695	  9.17846726	  17.99	  120.60	  139.67	  1.47	 0.840	 0.88
 13979	 9.70	 45.01315399	-49.41794202	  14.30	   27.54	   19.06	  1.53	 0.850	 0.89
 14001	 8.94	 45.07068993	 -9.03970372	  23.43	  282.84	  -84.93	  1.15	 0.902	 0.90
 14007	 8.48	 45.08210459	-37.45455908	  21.21	   16.12	   27.87	  0.88	 0.677	 0.74
 14016	 8.02	 45.10589176	 -8.13237376	  14.24	  251.46	   62.29	  1.04	 0.749	 0.79
 14023	 8.11	 45.14869976	  5.98644696	  30.87	  698.12	 -157.87	  1.42	 0.838	 0.88
 14031	 9.19	 45.17398347	-35.93779684	  18.05	  255.37	   74.89	  1.19	 0.719	 0.77
 14045	 9.53	 45.22047705	-49.75848558	  14.47	   14.05	   40.79	  1.59	 0.200	 0.67
 14048	 7.31	 45.22294670	 15.03135065	  13.98	  -74.85	  -74.23	  1.14	 0.553	 0.63
 14056	 7.22	 45.26766552	-33.10994187	  14.42	  100.56	   -1.30	  0.76	 0.522	 0.59
 14075	 8.82	 45.34444094	  6.24934253	  15.17	   36.30	  -89.80	  1.44	 0.741	 0.79
 14086	 5.88	 45.40604298	-28.09048221	  32.94	  282.98	 -440.90	  0.72	 0.794	 0.90
 14106	 7.81	 45.47089891	-47.55907011	  13.74	  -45.50	    8.45	  0.70	 0.485	 0.56
 14109	 5.91	 45.47562665	 26.46234187	  15.24	  -13.85	    4.93	  0.87	 0.141	 0.15
 14124	 6.20	 45.53845132	 -6.49419402	  30.81	   80.54	 -143.75	  0.89	 0.598	 0.66
 14135	 2.54	 45.56991279	  4.08992539	  14.82	  -11.81	  -78.76	  0.83	 1.630	 1.97
 14134	 7.96	 45.56995735	 41.39576433	  18.91	    4.55	  107.95	  1.98	 0.529	 0.60
 14138	 9.50	 45.57604816	-19.90837132	  15.34	  229.86	  -31.12	  1.37	 0.700	 0.75
 14146	 4.08	 45.59830468	-23.62433613	  37.85	 -145.96	  -55.76	  0.69	 0.163	 0.18
 14150	 6.62	 45.60780944	 26.60964871	  47.25	  234.19	 -168.25	  0.89	 0.696	 0.75
 14152	 7.92	 45.61393624	 22.37357797	  13.81	  101.08	  -31.70	  1.16	 0.506	 0.58
 14157	 8.45	 45.63592436	-15.27273494	  20.56	  103.08	   49.88	  1.37	 0.860	 0.87
 14161	 9.88	 45.64537027	 -7.00480345	  17.55	  -46.51	  -18.12	  1.85	 0.868	 0.91
 14175	10.21	 45.69351478	 12.35398828	  19.33	  196.19	   14.14	  1.71	 1.382	 1.35
 14177	 9.23	 45.70685313	-14.39642677	  15.02	  159.28	   98.84	  1.67	 0.584	 0.66
 14181	 6.72	 45.71755954	 47.11069746	  21.65	   66.69	  -60.36	  0.82	 0.596	 0.67
 14182	 9.21	 45.71925435	 52.24988187	  24.60	 -125.57	  143.70	  1.72	 1.042	 1.01
 14194	 7.51	 45.75719819	 -2.08649510	  18.81	  106.34	    5.17	  1.77	 0.519	 0.59
 14230	 7.09	 45.86910309	 23.06147114	  29.62	  111.75	    3.47	  1.09	 0.624	 0.69
