       Wave            Flux
       3797.0232      -6.4903158
       3797.8976      -7.1353438
       3798.7722      -1.0279428
       3799.6470      0.12187142
       3800.5220      -2.4929791
       3801.3972       2.2782002
       3802.2727      -3.6803498
       3803.1483     0.047215731
       3804.0241     0.023520110
       3804.9001       1.2617632
       3805.7763      -5.1600563
       3806.6528       2.5180863
       3807.5294      0.24121994
       3808.4062     -0.76042045
       3809.2833       1.6802703
       3810.1605     -0.53351871
       3811.0379    -0.087890307
       3811.9156       3.3152092
       3812.7934       1.1669744
       3813.6715      0.32930559
       3814.5497     -0.22453275
       3815.4281     0.097661285
       3816.3068      0.33108343
       3817.1856      0.29807676
       3818.0647      -3.1226579
       3818.9440      -1.8333224
       3819.8234    -0.010837130
       3820.7031     0.074950416
       3821.5829     -0.70418944
       3822.4630      -2.8088703
       3823.3433      -1.5741016
       3824.2238     -0.37331299
       3825.1044      0.67234784
       3825.9853      0.50142865
       3826.8664      -2.0734842
       3827.7477      0.95293595
       3828.6292     -0.33842270
       3829.5108      -2.6210586
       3830.3927      -5.2772720
       3831.2748      -7.6417444
       3832.1571      0.63968191
       3833.0396      -4.4550818
       3833.9223     -0.49292864
       3834.8052     -0.76822219
       3835.6884      -4.3780892
       3836.5717      -1.0831549
       3837.4552     -0.54396911
       3838.3389     -0.66267582
       3839.2228     -0.70072780
       3840.1070      -4.5098636
       3840.9913      -4.3165726
       3841.8758      0.39549211
       3842.7606       2.1626288
       3843.6455     0.038308381
       3844.5307     -0.33239103
       3845.4160      -3.9541252
       3846.3016      -1.3900272
       3847.1873      -4.8269505
       3848.0733      0.13027493
       3848.9595      -1.3102497
       3849.8458      0.79881583
       3850.7324      0.33811489
       3851.6192       1.0718445
       3852.5062     -0.93880572
       3853.3934     -0.12286365
       3854.2808       2.4921756
       3855.1683      0.54299546
       3856.0562       1.5956540
       3856.9442       2.9292205
       3857.8324      0.58499901
       3858.7208      -2.6616419
       3859.6094       1.9715272
       3860.4982      0.63660651
       3861.3873      -1.5601095
       3862.2765       1.8800142
       3863.1659       2.6166477
       3864.0556       2.1429379
       3864.9454       5.4876998
       3865.8355       6.9888073
       3866.7257       7.8705248
       3867.6162       10.572990
       3868.5069       10.122991
       3869.3977       8.4118759
       3870.2888       7.8316725
       3871.1801       5.6162972
       3872.0716       4.6372061
       3872.9633      -1.9448644
