l	fo
6013	0.77065963005
6014	0.77040069999
6015	0.77030931291
6016	0.76890042876
6017	0.76481085693
6018	0.76343243514
6019	0.76368374961
6020	0.76661575176
6021	0.76753723815
6022	0.7660521981
6023	0.76809317622
6024	0.77233505985
6025	0.78025527345
6026	0.78436007646
6027	0.78637059222
6028	0.78899035518
6029	0.79154919342
6030	0.79428319023
6031	0.79585961736
6032	0.79668210108
6033	0.79698672468
6034	0.79670494785
6035	0.79624801245
6036	0.79271437869
6037	0.78376606044
6038	0.78180123822
6039	0.78656859756
6040	0.78918074493
6041	0.79097040858
6042	0.79074194088
6043	0.79318654527
6044	0.79920286137
6045	0.8022262506
6046	0.80343712941
6047	0.8023785624
6048	0.8010077562
6049	0.79731419505
6050	0.7954483755
6051	0.79455735147
6052	0.79578346146
6053	0.79378056129
6054	0.78824402736
6055	0.78563187999
6056	0.78445907913
6057	0.78520540695
6058	0.78536533434
6059	0.78764239575
6060	0.78599742831
6061	0.78193831884
6062	0.77342408922
6063	0.77320323711
6064	0.77878546458
6065	0.78287503641
6066	0.78744439041
6067	0.79265345397
6068	0.7971999612
6069	0.80211201675
6070	0.80540195163
