# Matter power spectrum P(k) at redshift z=50
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.840432079965e-02       1.335865103786e+01 
       2.854406776019e-02       1.331251902872e+01 
       2.868407250883e-02       1.326621667884e+01 
       2.882434111679e-02       1.321983126926e+01 
       2.896487982102e-02       1.317330691109e+01 
       2.910569502960e-02       1.312664999547e+01 
       2.924679332731e-02       1.307988243426e+01 
       2.938818148154e-02       1.303302748490e+01 
       2.952986644832e-02       1.298604950949e+01 
       2.967185537870e-02       1.293899263996e+01 
       2.981415562530e-02       1.289175180011e+01 
       2.995677474926e-02       1.284452162261e+01 
       3.009972052734e-02       1.279716740393e+01 
       3.024300095943e-02       1.274970392728e+01 
       3.038662427637e-02       1.270220466279e+01 
       3.053059894805e-02       1.265463469897e+01 
       3.067493369194e-02       1.260700686226e+01 
       3.081963748193e-02       1.255927720785e+01 
       3.096471955766e-02       1.251148352567e+01 
       3.111018943415e-02       1.246367825242e+01 
       3.125605691194e-02       1.241580840345e+01 
       3.140233208775e-02       1.236786252341e+01 
       3.154902536547e-02       1.231989289473e+01 
       3.169614746783e-02       1.227191144186e+01 
       3.184370944855e-02       1.222383942969e+01 
       3.199172270507e-02       1.217576135465e+01 
       3.214019899187e-02       1.212764840518e+01 
       3.228915043450e-02       1.207949935914e+01 
       3.243858954427e-02       1.203137428599e+01 
       3.258852923362e-02       1.198320692166e+01 
       3.273898283235e-02       1.193502394624e+01 
       3.288996410460e-02       1.188683215158e+01 
       3.304148726669e-02       1.183856644849e+01 
       3.319356700599e-02       1.179033638928e+01 
       3.334621850063e-02       1.174213564378e+01 
       3.349945744031e-02       1.169386938561e+01 
       3.365330004827e-02       1.164567185952e+01 
       3.380776310435e-02       1.159754752917e+01 
       3.396286396938e-02       1.154932633838e+01 
       3.411862061083e-02       1.150114587655e+01 
       3.427505162998e-02       1.145294047935e+01 
       3.443217629055e-02       1.140476856356e+01 
       3.459001454898e-02       1.135661260276e+01 
       3.474858708643e-02       1.130841697257e+01 
       3.490791534268e-02       1.126024259945e+01 
       3.506802155196e-02       1.121208344440e+01 
       3.522892878099e-02       1.116397535897e+01 
       3.539066096924e-02       1.111583387180e+01 
       3.555324297165e-02       1.106776398261e+01 
       3.571670060404e-02       1.101969089172e+01 
       3.588106069126e-02       1.097163670204e+01 
       3.604635111847e-02       1.092360136572e+01 
       3.621260088561e-02       1.087562569213e+01 
       3.637984016546e-02       1.082759753094e+01 
       3.654810036549e-02       1.077964178203e+01 
       3.671741419379e-02       1.073168560113e+01 
       3.688781572942e-02       1.068378530905e+01 
       3.705934049765e-02       1.063590497413e+01 
       3.723202555023e-02       1.058801510390e+01 
       3.740590955142e-02       1.054014850110e+01 
       3.758103287006e-02       1.049234413701e+01 
       3.775743767824e-02       1.044456051165e+01 
       3.793516805718e-02       1.039675086035e+01 
       3.811427011096e-02       1.034897945799e+01 
       3.829479208872e-02       1.030120975181e+01 
       3.847678451622e-02       1.025350996649e+01 
       3.866030033749e-02       1.020576251188e+01 
       3.884539506765e-02       1.015806112904e+01 
       3.903212695780e-02       1.011035607555e+01 
       3.922055717329e-02       1.006268444411e+01 
       3.941074998658e-02       1.001499245450e+01 
       3.960277298617e-02       9.967321729182e+00 
       3.979669730323e-02       9.919639352596e+00 
       3.999259785769e-02       9.871972311779e+00 
       4.019055362587e-02       9.824302762984e+00 
       4.039064793189e-02       9.776611173305e+00 
       4.059296876547e-02       9.728912910093e+00 
       4.079760912889e-02       9.681209450717e+00 
       4.100466741648e-02       9.633484140793e+00 
       4.121424783023e-02       9.585721506544e+00 
       4.142646083574e-02       9.537931219328e+00 
       4.164142366316e-02       9.490126273583e+00 
       4.185926085861e-02       9.442274863158e+00 
       4.208010489205e-02       9.394375778117e+00 
       4.230409682879e-02       9.346426333694e+00 
       4.253138707251e-02       9.298384635799e+00 
       4.276213618907e-02       9.250318297577e+00 
       4.299651582176e-02       9.202187590409e+00 
       4.323470971014e-02       9.153933531184e+00 
       4.347691482675e-02       9.105596119289e+00 
       4.372334264809e-02       9.057192252248e+00 
       4.397422057899e-02       9.008631216773e+00 
       4.422979355281e-02       8.959972935764e+00 
       4.449032583360e-02       8.911157003186e+00 
       4.475610305095e-02       8.862222799999e+00 
       4.502743450392e-02       8.813122278466e+00 
       4.530465577670e-02       8.763850109508e+00 
       4.558813171716e-02       8.714374828059e+00 
       4.587825983858e-02       8.664692698046e+00 
       4.617547421737e-02       8.614783119010e+00 
       4.648024997343e-02       8.564613184669e+00 
       4.679310843808e-02       8.514198326031e+00 
       4.711462313633e-02       8.463471999896e+00 
       4.744542673739e-02       8.412402896058e+00 
       4.778621916136e-02       8.361013824410e+00 
       4.813777707216e-02       8.309239142251e+00 
       4.850096504009e-02       8.257022157458e+00 
       4.887674872396e-02       8.204341445755e+00 
       4.926621050739e-02       8.151176458893e+00 
       4.967056813086e-02       8.097433804782e+00 
       5.009119699740e-02       8.043094772909e+00 
       5.052965700323e-02       7.988055396580e+00 
       5.098772496582e-02       7.932259393190e+00 
       5.146743400368e-02       7.875608598895e+00 
       5.197112157935e-02       7.818017270087e+00 
       5.250148836656e-02       7.759324810211e+00 
       5.306167065974e-02       7.699461486501e+00 
       5.365532971666e-02       7.638195294298e+00 
       5.428676219783e-02       7.575294885858e+00 
       5.496103667412e-02       7.510576426967e+00 
       5.568416183560e-02       7.443631505788e+00 
       5.646329214182e-02       7.374124921735e+00 
       5.730697534224e-02       7.301465694367e+00 
       5.822544184811e-02       7.224974996726e+00 
       5.923092511134e-02       7.143755416809e+00 
       6.033797923528e-02       7.056584414312e+00 
       6.156371593776e-02       6.961852832352e+00 
       6.292780625486e-02       6.857415170895e+00 
       6.445197707174e-02       6.740376151070e+00 
       6.615860368697e-02       6.607127221231e+00 
       6.806796606510e-02       6.453270794776e+00 
       7.019404110131e-02       6.274163836339e+00 
       7.253961323704e-02       6.065779415208e+00 
       7.509278884846e-02       5.826245393689e+00 
       7.782744545750e-02       5.557353952593e+00 
       8.070834073462e-02       5.265235948217e+00 
       8.369850861787e-02       4.959771052912e+00 
       8.676533509153e-02       4.652851325682e+00 
       8.988341099316e-02       4.356330235021e+00 
       9.303459742784e-02       4.080346122617e+00 
       9.620668979996e-02       3.832282616628e+00 
       9.939178833790e-02       3.616335865487e+00 
       1.025849043454e-01       3.433675251979e+00 
       1.057829356857e-01       3.282815735268e+00 
       1.089839715757e-01       3.160158724172e+00 
       1.121868418082e-01       3.060635948423e+00 
       1.153908321555e-01       2.978226732986e+00 
       1.185955075215e-01       2.906625837482e+00 
       1.218006030900e-01       2.839747252294e+00 
       1.250059577098e-01       2.772263041173e+00 
       1.282114732662e-01       2.700044020943e+00 
       1.314170899543e-01       2.620471856227e+00 
       1.346227712481e-01       2.532553900072e+00 
       1.378284947693e-01       2.436843217949e+00 
       1.410342467426e-01       2.335179433034e+00 
       1.442400186290e-01       2.230289370034e+00 
       1.474458050812e-01       2.125346241953e+00 
       1.506516027019e-01       2.023523254373e+00 
       1.538574092887e-01       1.927630804607e+00 
       1.570632233756e-01       1.839901781086e+00 
       1.602690439531e-01       1.761766877237e+00 
       1.634748702978e-01       1.693814329140e+00 
       1.666807018681e-01       1.635900552447e+00 
       1.698865382403e-01       1.587184289784e+00 
       1.730923790691e-01       1.546300826956e+00 
       1.762982240628e-01       1.511516943336e+00 
       1.795040729681e-01       1.480926214642e+00 
       1.827099255602e-01       1.452723676645e+00 
       1.859157816363e-01       1.425316215122e+00 
       1.891216410114e-01       1.396903775030e+00 
       1.923275035154e-01       1.366370052971e+00 
       1.955333689907e-01       1.333071144140e+00 
       1.987392372909e-01       1.296899971638e+00 
       2.019451082797e-01       1.258223559992e+00 
       2.051509818295e-01       1.217789136221e+00 
       2.083568578208e-01       1.176582221009e+00 
       2.115627361416e-01       1.135630383834e+00 
       2.147686166867e-01       1.095910999728e+00 
       2.179744993572e-01       1.058227365498e+00 
       2.211803840600e-01       1.023206005843e+00 
       2.243862707073e-01       9.912412815899e-01 
       2.275921592163e-01       9.625185233323e-01 
       2.307980495089e-01       9.370370677684e-01 
       2.340039415114e-01       9.145394394557e-01 
       2.372098351538e-01       8.946785263075e-01 
       2.404157303703e-01       8.769208188451e-01 
       2.436216270981e-01       8.606447365540e-01 
       2.468275252781e-01       8.452357017007e-01 
       2.500334248541e-01       8.301317840740e-01 
       2.532393257727e-01       8.148551575209e-01 
       2.564452279831e-01       7.990811178228e-01 
       2.596511314374e-01       7.826294518413e-01 
       2.628570360896e-01       7.654445516929e-01 
       2.660629418963e-01       7.475910502454e-01 
       2.692688488160e-01       7.292329195684e-01 
       2.724747568091e-01       7.106127553987e-01 
       2.756806658379e-01       6.920427615335e-01 
       2.788865758666e-01       6.738301564183e-01 
       2.820924868609e-01       6.562794119444e-01 
       2.852983987880e-01       6.396403612019e-01 
       2.885043116167e-01       6.240818029966e-01 
       2.917102253170e-01       6.096760054651e-01 
       2.949161398605e-01       5.964253343114e-01 
       2.981220552197e-01       5.842489854073e-01 
       3.013279713685e-01       5.730047557498e-01 
       3.045338882818e-01       5.625374238894e-01 
       3.077398059356e-01       5.526701489077e-01 
       3.109457243069e-01       5.432264026440e-01 
       3.141516433736e-01       5.340292442812e-01 
       3.173575631145e-01       5.249265902509e-01 
       3.205634835093e-01       5.157875245101e-01 
       3.237694045384e-01       5.065293679475e-01 
       3.269753261832e-01       4.971134556863e-01 
       3.301812484256e-01       4.875530034336e-01 
       3.333871712482e-01       4.779017254802e-01 
       3.365930946345e-01       4.682382025991e-01 
       3.397990185684e-01       4.586523226214e-01 
       3.430049430344e-01       4.492305775303e-01 
       3.462108680178e-01       4.400540937037e-01 
       3.494167935041e-01       4.311906618660e-01 
       3.526227194797e-01       4.226930060980e-01 
       3.558286459312e-01       4.145997094318e-01 
       3.590345728459e-01       4.069272489269e-01 
       3.622405002114e-01       3.996722908173e-01 
       3.654464280157e-01       3.928016646409e-01 
       3.686523562474e-01       3.862688895649e-01 
       3.718582848954e-01       3.800080345371e-01 
       3.750642139489e-01       3.739543863695e-01 
       3.782701433976e-01       3.680483680585e-01 
       3.814760732315e-01       3.622401354982e-01 
       3.846820034410e-01       3.564954862898e-01 
       3.878879340166e-01       3.507908324392e-01 
       3.910938649493e-01       3.451125254344e-01 
       3.942997962305e-01       3.394554551869e-01 
       3.975057278515e-01       3.338221712470e-01 
       4.007116598043e-01       3.282249984639e-01 
       4.039175920809e-01       3.226831083993e-01 
       4.071235246736e-01       3.172232393166e-01 
       4.103294575750e-01       3.118738224779e-01 
       4.135353907778e-01       3.066585494703e-01 
       4.167413242752e-01       3.015960089120e-01 
       4.199472580603e-01       2.966936781781e-01 
       4.231531921265e-01       2.919536403722e-01 
       4.263591264675e-01       2.873717988484e-01 
       4.295650610771e-01       2.829417940066e-01 
       4.327709959494e-01       2.786562754955e-01 
       4.359769310785e-01       2.745057308624e-01 
       4.391828664587e-01       2.704773460782e-01 
       4.423888020846e-01       2.665560818521e-01 
       4.455947379509e-01       2.627236609888e-01 
       4.488006740524e-01       2.589617027238e-01 
       4.520066103840e-01       2.552548160842e-01 
       4.552125469409e-01       2.515927928076e-01 
       4.584184837184e-01       2.479708966603e-01 
       4.616244207118e-01       2.443892960272e-01 
       4.648303579167e-01       2.408504536682e-01 
       4.680362953287e-01       2.373578159994e-01 
       4.712422329435e-01       2.339146667628e-01 
       4.744481707570e-01       2.305247506697e-01 
       4.776541087653e-01       2.271929745543e-01 
       4.808600469643e-01       2.239257830140e-01 
       4.840659853504e-01       2.207309422544e-01 
       4.872719239197e-01       2.176148453229e-01 
       4.904778626688e-01       2.145811727188e-01 
       4.936838015940e-01       2.116297849357e-01 
       4.968897406920e-01       2.087566577253e-01 
       5.000956799594e-01       2.059550154687e-01 
       5.033016193930e-01       2.032175982346e-01 
       5.065075589896e-01       2.005377483671e-01 
       5.097134987461e-01       1.979105355393e-01 
       5.129194386596e-01       1.953318301063e-01 
       5.161253787270e-01       1.927976445871e-01 
       5.193313189456e-01       1.903041509198e-01 
       5.225372593125e-01       1.878464498546e-01 
       5.257431998250e-01       1.854212975204e-01 
       5.289491404804e-01       1.830270087380e-01 
       5.321550812763e-01       1.806642138496e-01 
       5.353610222099e-01       1.783357068468e-01 
       5.385669632789e-01       1.760449020249e-01 
       5.417729044809e-01       1.737942558196e-01 
       5.449788458135e-01       1.715856650977e-01 
       5.481847872744e-01       1.694191809585e-01 
       5.513907288614e-01       1.672934368800e-01 
       5.545966705722e-01       1.652073726794e-01 
       5.578026124048e-01       1.631608153289e-01 
       5.610085543570e-01       1.611542798360e-01 
       5.642144964267e-01       1.591872856479e-01 
       5.912890586294e-01       1.439119776233e-01 
       6.218764266666e-01       1.289084707074e-01 
       6.572237816308e-01       1.142207279414e-01 
       6.993581361202e-01       9.957175928168e-02 
       7.518222168467e-01       8.477943216769e-02 
       8.213610621629e-01       6.951449429669e-02 
       9.218987684958e-01       5.349608762996e-02 
       1.081607108914e+00       3.705278289415e-02 
       1.334354070666e+00       2.268087585900e-02 
       1.677592721628e+00       1.315759633264e-02 
       2.111925029177e+00       7.540456929631e-03 
       2.658755956604e+00       4.285944807412e-03 
       3.347175437468e+00       2.418078612862e-03 
       4.213844215962e+00       1.355085810160e-03 
       5.304915564817e+00       7.547598838788e-04 
