SDSS  Name1                RA          DEC       z       Morp  R50   IC    L_K     L_Age   O3Hb    N2Hb   Act  L_Ha  Sigma L5100  Name2
SDSS  J123600.11+541315.4  189.00047  +54.22097  0.0179  Sb     7.6  2.40  10.85    9.57   0.547   0.143  AGN  5.95  185  42.91  NGC_4566
SDSS  J125116.51+534146.6  192.81883  +53.69629  0.0162  Sa     5.9  2.75  10.80    9.70   0.188   0.251  AGN  5.29  157  42.83  IC_0830
SDSS  J131446.03+534913.2  198.69181  +53.82036  0.0157  Sa     4.4  3.21  10.67    9.76   0.317   0.263  AGN  5.95  182  42.83  CGCG_271-026
SDSS  J132745.69+544756.9  201.94040  +54.79915  0.0331  Sa    15.8  3.00  11.27    9.66   0.639   0.301  AGN  6.54  221  43.13  UGC_08462
SDSS  J144331.70+481158.3  220.88208  +48.19954  0.0370  Sa     8.7  2.33  10.87    9.51   0.044  -0.202  TO   6.46  139  42.81  MCG_+08-27-021
SDSS  J153626.77+475117.3  234.11157  +47.85481  0.0262  Sb     8.7  2.52  10.61    9.36  -0.354  -0.277  TO   6.29  113  42.70  CGCG_249-034
SDSS  J085850.46+061734.7  134.71029  +06.29299  0.0128  Sc     7.7  2.25  10.86    7.92  -0.730  -0.324  SFG  7.51  123  42.78  NGC_2718
SDSS  J090015.62+401748.3  135.06508  +40.29675  0.0289  Sc    11.6  2.22  10.79    9.26  -0.086  -0.255  TO   7.28  111  42.70  UGC_04716
SDSS  J084153.06+325205.3  130.47110  +32.86814  0.0257  Sab   10.9  2.40  10.83    9.37   0.452  -0.159  AGN  6.19  147  42.95  UGC_04531
SDSS  J084408.90+333056.6  131.03710  +33.51573  0.0256  Sab   11.5  2.76  10.82    9.37   0.101  -0.171  TO   6.47  132  42.46  UGC_04558
SDSS  J091958.02+371128.5  139.99177  +37.19126  0.0075  Sab    3.9  2.79  10.22    9.02   0.627   0.096  AGN  5.62  111  41.56  IC_2461
SDSS  J095204.01+405129.4  148.01675  +40.85819  0.0168  Sb     6.1  2.42  10.55    9.09   0.581   0.156  AGN  5.98  111  42.51  UGC_05290
SDSS  J110952.32+093109.9  167.46804  +09.51944  0.0298  S0    10.1  3.08  10.96    9.86  -0.066   0.044  AGN  6.48  199  43.06  CGCG_067-018
SDSS  J114018.50+090035.5  175.07710  +09.00988  0.0061  Sa     2.8  2.72  10.20    9.24   0.003  -0.127  TO   5.31  103  41.80  IC_0719
SDSS  J115651.62+084252.4  179.21509  +08.71456  0.0351  Sab   10.2  2.38  10.82    9.23  -0.306  -0.312  TO   6.60   NA  42.38  2MFGC_09385
SDSS  J115827.52+100117.4  179.61470  +10.02150  0.0139  Sb     7.2  2.44  10.57    9.72  -0.023  -0.321  TO   5.68  102  42.23  NGC_4012
SDSS  J093859.18+065719.5  144.74661  +06.95544  0.0166  Sb     9.3  2.19  10.91    8.64  -0.772  -0.440  SFG  7.04  147  42.63  NGC_2948
SDSS  J080036.67+222400.1  120.15282  +22.40005  0.0184  Sc     8.9  1.85  10.61    9.14  -0.713  -0.351  SFG  6.26   96  42.16  NGC_2503
SDSS  J081807.59+263801.8  124.53164  +26.63386  0.0202  Sb     8.0  1.96  10.59    9.17   0.242   0.128  AGN  6.09   99  42.56  CGCG_149-011
SDSS  J082009.89+270536.5  125.04123  +27.09348  0.0196  Sa     8.7  2.57  11.02    9.70  -0.505  -0.273  TO   6.42  207  42.76  UGC_04341
SDSS  J093712.22+363712.6  144.30095  +36.62019  0.0398  Sa     9.1  3.50  11.01    9.62  -0.075  -0.077  TO   6.57  170  43.21  UGC_05120
SDSS  J093015.61+364133.3  142.56507  +36.69260  0.0273  Sb     9.1  2.02  10.63    8.92  -0.407  -0.345  SFG  6.63  105  42.47  CGCG_181-050
SDSS  J094302.19+374923.3  145.75913  +37.82315  0.0220  Sab    9.4  2.29  10.84    9.46  -0.586  -0.321  SFG  7.03  133  42.59  UGC_05184
SDSS  J095058.69+375758.8  147.74458  +37.96635  0.0406  Sab   14.8  2.77  10.94    9.24   0.969   0.278  AGN  6.98  134  42.65  FGC_0955
SDSS  J123713.54+492653.6  189.30643  +49.44823  0.0299  Sb    12.5  1.88  11.01    9.57   0.338   0.237  AGN  6.10  129  42.80  CGCG_244-034
SDSS  J141235.80+471510.9  213.14918  +47.25305  0.0281  Sb     7.5  2.31  10.72    9.15  -0.636  -0.337  SFG  6.83  131  42.64  MCG_+08-26-014
SDSS  J144901.18+422750.1  222.25494  +42.46393  0.0183  Sb     9.3  2.29  10.48    8.95  -0.570  -0.383  SFG  6.11   89  41.96  UGC_09542
SDSS  J084324.71+080446.9  130.85297  +08.07971  0.0297  Sab    8.6  2.44  10.84    9.27  -0.424  -0.413  SFG  6.75  119  42.67  CGCG_032-053
SDSS  J094514.39+090637.2  146.30998  +09.11034  0.0183  Sc     9.5  2.12  10.82    9.03   0.165  -0.151  TO   6.24  109  42.45  UGC_05215
SDSS  J135429.15+541950.3  208.62149  +54.33066  0.0154  Sb     6.1  3.15  10.75    8.85  -0.380  -0.149  TO   6.92  149  42.75  NGC_5368
SDSS  J143816.28+402724.2  219.56785  +40.45673  0.0092  Sd     5.2  2.03  10.14    8.27  -0.519  -0.473  SFG  5.88   84  41.61  NGC_5704
SDSS  J103909.45+414112.0  159.78941  +41.68667  0.0025  Sd     2.0  2.42   8.98    7.93   0.189  -0.569  SFG  3.68   NA  40.54  NGC_3319
SDSS  J110604.55+431951.9  166.51900  +43.33109  0.0107  Sc     3.9  2.53  10.03    8.53  -0.352  -0.527  SFG  6.17   87  41.85  UGC_06149
SDSS  J141153.44+381137.8  212.97269  +38.19385  0.0205  Sab    7.7  2.98  11.05    9.41   0.066   0.023  AGN  6.45  186  42.93  UGC_09088
SDSS  J143714.69+382715.3  219.31123  +38.45427  0.0123  Sc     8.1  2.09  10.47    8.52  -0.723  -0.295  SFG  7.07  116  42.23  NGC_5698
SDSS  J142908.35+414950.8  217.28481  +41.83078  0.0181  Sab    5.3  2.80  10.63    9.44  -0.260  -0.171  TO   6.78  128  42.51  UGC_09307
SDSS  J145138.88+403556.9  222.91202  +40.59916  0.0163  Sb    10.0  2.57  11.07    9.91   0.414   0.221  AGN  6.23  214  42.87  NGC_5772
SDSS  J165458.22+220854.4  253.74258  +22.14845  0.0354  Sab   15.0  2.68  10.88    9.24  -0.081  -0.235  TO   6.44  132  42.56  UGC_10603
SDSS  J121918.52+431412.5  184.82720  +43.23682  0.0238  Sab    7.8  2.56  10.51    9.13  -0.318  -0.328  SFG  6.14   NA  42.14  FGC_1411
SDSS  J130546.57+462742.3  196.44407  +46.46178  0.0248  Sc    13.2  2.58  10.90    8.70  -0.302  -0.266  TO   6.30   NA  42.12  UGC_08189
SDSS  J135034.52+445044.9  207.64385  +44.84583  0.0433  Sb    11.1  2.22  11.01    9.34  -0.464  -0.337  SFG  6.84  128  42.93  MCG_+08-25-046
SDSS  J163121.57+224149.4  247.83989  +22.69707  0.0243  Sc    10.3  1.83  10.55    9.13  -0.454  -0.262  TO   6.78   94  42.38  UGC_10435
SDSS  J155727.90+300335.4  239.36628  +30.05986  0.0328  Sc     1.5  2.01  10.94    9.91   0.217   0.170  AGN  6.32  174  43.06  UGC_10104
SDSS  J155601.61+302502.6  239.00673  +30.41741  0.0468  Sab   17.8  2.15  11.31    9.95   0.229   0.312  AGN  6.83  190  43.29  CGCG_167-005
SDSS  J093011.12+343951.7  142.54636  +34.66436  0.0231  Sab    4.6  2.85  10.76    9.04  -0.637  -0.406  SFG  7.31  115  42.86  CGCG_181-049
