z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    V98               sigma           RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.380690      8.477237      44.433900      -1.183858      2.404000      3.000000      0.652066      -1.526733      2.591066      -1021.482312      397.551616      164.00505830      66.12742100      51929      0490      197
0.134479      7.178639      43.366200      -0.952959      2.548000      3.000000      0.722644      -0.154924      2.368890      -830.832949       304.915900      162.07990200      66.29257900      51929      0490      359
0.310240      8.033390      44.191000      -0.982910      3.134000      2.000000      0.890017      -0.068720      2.702260      -1456.934310      323.918542      163.55044540      66.62755170      51929      0490      479
0.198666      8.143302      43.987800      -1.296023      2.842000      1.500000      0.972707      0.096269       2.493378      -1058.816060      388.324650      157.05123020      66.12334020      51930      0489      370
0.163062      7.717814      44.052500      -0.805834      2.898000      2.000000      0.858534      -1.279324      2.579428      -996.185655       270.395873      209.92977090      -0.57347140      51942      0301      142
0.334678      8.265091      44.231900      -1.173712      3.241000      3.000000      0.817598      -0.789566      2.566210      -847.667600       314.927130      169.90835040      67.58727060      51942      0491      460
0.145097      7.555117      43.690800      -1.004838      2.961000      0.000000      0.361269      2.718555       2.546161      -1304.634592      501.389371      172.11899610      67.20338090      51942      0491      543
0.193838      8.350780      44.097900      -1.393401      2.826000      3.000000      0.710849      -1.769589      2.524964      -820.521273       176.379431      171.96650330      67.84518320      51942      0491      561
0.234135      8.179364      44.179500      -1.140384      1.986000      0.500000      0.428765      0.221510       2.579412      -1208.300866      445.416918      207.11195520      -0.99551990      51943      0300      206
0.386670      7.951769      44.433800      -0.658490      2.939000      2.500000      0.926176      -1.766513      2.573399      -1016.507718      356.608204      203.81341650      1.09087030       51955      0298      562
0.186907      7.580957      43.935100      -0.786378      2.275000      1.500000      0.754234      1.100208       2.523585      -985.360401       340.477310      138.65570370      1.43985400       51955      0472      443
0.216423      7.816002      43.848000      -1.108522      2.098000      1.000000      0.711011      0.582559       2.606727      -1255.141276      370.775248      151.52630330      2.08930290       51957      0502      350
0.236118      8.360124      44.012700      -1.487945      3.017000      3.000000      0.931142      -1.113771      2.472302      -724.324704       268.747292      153.06392230      2.30697270       51957      0502      514
0.171459      8.842310      44.048000      -1.934830      2.736000      2.000000      0.852783      -1.073633      2.430938      -1021.156019      397.121720      175.89737330      -0.49511530      51959      0283      230
0.365021      8.297791      44.389400      -1.048912      2.292000      2.500000      0.770472      -1.944235      2.609428      -957.021309       275.052394      214.82814290      64.40497330      51984      0498      019
0.170014      7.621803      43.952500      -0.809824      2.984000      3.000000      0.878552      -1.458521      2.531237      -925.186852       366.346971      196.80523440      -0.60043290      51986      0294      194
0.207643      8.235069      44.096700      -1.278890      2.338000      2.000000      0.532324      -0.607955      2.515141      -1035.137161      412.034746      195.89729000      -0.82019280      51986      0294      260
0.321189      8.488792      44.248700      -1.380613      2.492000      3.000000      0.944807      -1.641040      2.497144      -923.520169       226.057959      192.42567030      68.44821140      51988      0495      366
0.215636      7.623968      44.061600      -0.702889      2.701000      3.500000      0.815951      -1.231613      2.481106      -834.518055       317.582583      198.89384490      67.52601750      51988      0496      365
0.337083      7.893574      44.218400      -0.815694      2.616000      2.500000      0.853345      -1.652837      2.485715      -918.314568       380.843449      200.68429440      66.84805380      51988      0496      519
0.144931      8.642458      43.949300      -1.833678      3.014000      0.500000      0.905020      0.124757       2.507057      -1414.058898      580.265234      216.97825740      63.91345580      51988      0499      157
0.321781      8.771339      44.388000      -1.523859      2.906000      2.500000      0.863052      -1.013610      2.605360      -1201.495129      482.339245      214.89869520      64.35788720      51988      0499      349
0.298703      8.981570      44.301200      -1.820891      2.325000      2.500000      0.891751      -1.985280      2.558232      -1290.332809      552.703125      207.77917910      65.52429650      51989      0497      044
0.338993      8.526471      44.351800      -1.315192      2.569000      2.000000      0.781417      -0.501813      2.461729      -921.838104       321.221152      203.19860040      66.64536650      51989      0497      359
0.136155      7.961729      44.033900      -1.068350      2.995000      2.500000      0.635184      -0.170525      2.623641      -1350.928121      359.733521      204.86593020      66.48358560      51989      0497      437
0.238955      8.595941      44.368100      -1.368362      2.057000      1.000000      0.806813      0.014485       2.597171      -1372.085861      500.789625      174.13783660      2.12991890       51989      0513      105
0.280985      8.667164      44.206400      -1.601285      3.096000      2.000000      0.797949      -0.097447      2.686127      -1137.447208      231.302524      225.10914950      -0.90788140      51990      0310      284
0.113882      7.867261      43.409400      -1.598382      2.638000      1.500000      0.578634      0.646709       2.559389      -954.731065       321.963713      199.10230960      -2.09036690      51990      0340      595
0.138470      7.298885      43.469400      -0.970005      3.125000      1.500000      0.816579      1.635219       2.425197      -905.463149       383.401990      146.21491430      56.34381640      51991      0556      530
0.376850      7.758212      44.281100      -0.617632      2.576000      2.500000      0.652287      -1.307919      2.609197      -1263.896595      385.940158      172.35581190      2.82900450       51992      0512      583
0.191400      7.742300      43.904900      -0.977921      2.644000      1.500000      0.819182      -0.812058      2.449741      -712.125624       269.395947      117.17344250      34.73756340      51993      0542      039
0.224175      7.965856      43.926500      -1.179877      2.335000      1.000000      0.771770      0.551089       2.593186      -1211.502335      431.447067      115.64031510      33.67881670      51993      0542      253
0.182130      7.907194      43.993500      -1.054215      2.780000      3.000000      0.791773      -1.275246      2.545159      -956.324059       198.805300      133.78859140      51.05671110      51993      0551      471
0.282056      7.636887      44.042300      -0.735107      3.090000      2.500000      0.736933      -1.377380      2.533231      -1169.627668      488.477414      175.96098270      2.81412280       51994      0514      477
0.347511      8.439864      44.424400      -1.155985      2.564000      1.000000      0.821524      -0.562822      2.633131      -1591.052359      501.988650      176.84224380      2.61378430       51994      0514      555
0.116319      7.761086      43.747200      -1.154407      2.997000      1.500000      0.925892      0.369241       2.641148      -1171.933481      227.664551      214.19226140      1.52027820       51994      0533      047
0.252233      7.621794      44.112200      -0.650115      2.768000      3.000000      0.953282      -1.641604      2.514372      -932.919912       274.608981      214.45312660      1.63614490       51994      0533      062
0.053849      7.249919      43.174900      -1.215540      3.212000      1.500000      0.679224      1.675061       2.551125      -1116.143682      452.092601      214.12841320      1.61896980       51994      0533      150
0.351671      8.731112      44.573000      -1.298633      2.307000      1.500000      0.837926      -0.072500      2.871153      -1105.885828      172.785702      213.89774880      2.39409500       51994      0533      491
0.224563      8.204599      44.050900      -1.294220      2.254000      1.000000      0.892177      -0.068767      2.443612      -1433.726181      574.889376      193.00575120      -2.47545420      51997      0337      196
0.294689      8.196005      44.299500      -1.037026      2.585000      3.000000      0.787114      -1.516139      2.450995      -792.173796       308.110343      260.84293840      55.07044700      51997      0367      172
0.125769      7.408140      43.454200      -1.094461      2.712000      1.500000      0.733214      0.149965       2.527174      -1154.151495      313.196658      190.73766930      -1.32193360      51999      0336      368
0.135098      8.109524      43.770000      -1.480045      2.942000      1.000000      0.897558      0.189911       2.596086      -915.256287       266.592094      218.65867670      1.64631140       51999      0535      022
0.340818      8.201483      44.368700      -0.973303      3.072000      2.500000      0.747731      -1.656981      2.586997      -1162.732691      425.572471      217.94162010      3.02885340       51999      0535      523
0.285332      7.829214      43.966900      -1.002834      2.837000      3.000000      0.921818      -1.539082      2.403191      -895.483271       290.843176      218.74138690      2.61632280       51999      0535      594
0.240682      7.685309      43.856900      -0.968929      3.239000      2.000000      0.657914      -1.094043      2.515791      -981.292425       339.870722      139.45271180      52.33291430      51999      0553      056
0.256366      7.467650      43.897200      -0.710970      2.559000      1.500000      0.813175      -0.208591      2.466641      -790.030652       303.723096      189.84061090      -3.44026950      52000      0335      046
0.167854      8.309189      43.748900      -1.700810      2.623000      1.000000      0.787256      1.080490       2.562078      -1104.549944      337.689592      189.70827890      -3.16676250      52000      0335      099
0.322540      8.266020      44.417200      -0.989341      2.849000      2.500000      0.930249      -1.613208      2.522139      -956.177363       391.067477      141.16848440      -0.02629940      52000      0474      490
0.186072      8.396936      43.969100      -1.568357      2.502000      0.500000      0.642290      -0.202171      2.565511      -1233.785893      491.627846      141.31256650      53.28661710      52000      0554      051
0.284217      8.038012      44.113000      -1.065533      2.909000      2.500000      0.580501      -1.137370      2.644859      -1054.321486      316.099043      139.14773500      54.24080970      52000      0554      403
0.230816      7.801549      44.004800      -0.937270      2.838000      1.500000      0.656215      0.110364       2.408504      -813.656493       322.721747      140.29800660      54.23658650      52000      0554      500
0.306943      7.765703      44.156700      -0.749524      2.917000      2.000000      0.900498      -0.035228      2.490636      -1130.664342      452.655541      261.23974980      57.61695690      52017      0366      242
0.118037      7.354939      43.729700      -0.765760      3.223000      3.000000      0.655946      -1.053536      2.383304      -722.139550       218.874635      161.64945470      1.80481120       52022      0506      032
0.210463      8.255124      43.927700      -1.467944      2.589000      1.500000      0.701077      -0.924802      2.512827      -1292.024862      506.063466      190.81950040      3.12656300       52024      0522      377
0.252693      7.711027      44.027900      -0.823648      2.549000      3.000000      0.845902      -2.011919      2.258771      -870.430064       354.240092      192.10572580      2.76356200       52024      0522      481
0.174127      7.856062      44.199900      -0.796683      2.855000      3.000000      0.828383      -1.348003      2.514588      -1007.668385      352.589633      144.56173440      2.00656340       52026      0477      193
0.218886      7.655710      44.104300      -0.691930      2.139000      2.500000      0.851532      -0.077861      2.480889      -1086.354309      351.470725      145.08850980      2.17341310       52026      0477      494
0.211180      7.610329      43.999300      -0.751550      2.085000      2.000000      0.823996      0.274689       2.624030      -1065.091445      136.097316      233.70304680      3.47876490       52026      0593      537
0.270436      8.713067      44.167600      -1.685988      2.352000      2.000000      0.713992      -1.379682      2.595594      -1356.485690      523.200130      210.20792990      2.36086170       52028      0531      511
0.286496      7.937638      44.211600      -0.866559      2.575000      2.500000      0.881179      -0.675277      2.459086      -1222.059029      438.677500      222.21990720      3.96638830       52045      0588      354
0.344855      8.811650      44.463400      -1.488771      2.550000      2.500000      0.898927      -2.132625      2.734106      -1059.876104      205.014397      251.59145910      39.60663020      52050      0630      238
0.324185      7.737429      44.110400      -0.767550      2.698000      2.500000      0.774093      -1.010516      2.650072      -1093.734736      148.169665      178.99117340      3.70218780       52051      0515      567
0.040981      7.340098      43.134900      -1.345719      2.787000      1.500000      1.000000      0.720181       2.536988      -1213.518596      407.821728      242.98462700      52.18801340      52051      0623      405
0.282744      7.918718      44.260700      -0.798538      2.859000      3.000000      0.865233      -1.469587      2.510116      -1482.967606      544.687028      225.69686420      60.40247220      52055      0611      201
0.280511      7.775885      44.244500      -0.671906      2.956000      2.000000      0.931483      -2.098019      2.464664      -951.365266       373.594018      223.63932650      61.28394270      52055      0611      341
