z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.262870      8.054563      44.072900      -1.122184      2.765000      1.500000      0.788093      -1.193457      2.674842      41.78165850       -7.46732840      51910      0456      532
0.333295      8.995381      44.266300      -1.869601      1.872000      1.000000      0.739878      0.612183       2.864331      41.76351570       -7.23933820      51910      0456      540
0.208197      7.668785      43.677800      -1.131506      2.610000      2.000000      0.736108      -0.655612      2.576181      144.13834260      57.12424350      51911      0452      007
0.134154      7.434841      43.471900      -1.103462      2.499000      1.000000      0.802962      0.687651       2.388274      144.80782610      58.84249090      51911      0452      564
0.237161      8.750018      44.194000      -1.696539      3.036000      1.000000      0.640668      -0.075547      2.785982      133.63035060      -0.61405840      51912      0468      082
0.206368      7.449481      43.520800      -1.069202      1.941000      3.000000      0.796299      -1.220833      2.593594      12.34716870       -0.17440330      51913      0394      275
0.260729      7.945764      44.190000      -0.896285      2.882000      1.500000      0.841542      -0.167370      2.510350      135.22667070      1.43480360       51913      0469      558
0.134379      7.498851      43.531700      -1.107672      2.351000      0.500000      0.576626      1.074046       2.484160      153.08354070      62.95205950      51914      0488      247
0.207637      8.046351      43.815900      -1.370972      2.963000      3.500000      0.848939      -0.825610      2.492817      148.27825570      59.17033820      51915      0453      077
0.324327      8.167740      44.308000      -1.000261      2.872000      2.500000      0.690428      -1.772941      2.517169      49.32930410       -8.28412290      51924      0459      008
0.351111      8.630323      44.560900      -1.209944      2.924000      2.500000      0.967609      -2.186446      2.688172      48.14652690       -6.57526670      51924      0459      448
0.373449      7.802486      44.414200      -0.528807      2.367000      3.000000      0.758927      -1.256836      2.690878      48.03406390       -6.62670020      51924      0459      453
0.163176      8.116313      43.833500      -1.423333      2.591000      1.000000      0.599568      0.353295       2.626819      136.93126840      1.55766710       51924      0471      172
0.278823      7.619646      44.080600      -0.679567      2.725000      2.000000      0.794854      -0.465554      2.593627      136.24127750      1.07305080       51924      0471      243
0.100935      7.619334      43.213600      -1.546254      2.558000      1.500000      0.741922      0.742206       2.388428      137.09844140      57.18451280      51924      0483      616
0.171850      7.431515      43.677900      -0.894136      2.434000      2.000000      0.880218      -1.194152      2.419487      191.07319460      -0.87676560      51928      0291      097
0.165011      7.692943      43.642500      -1.190964      2.799000      1.500000      0.723168      -0.031582      2.481455      191.09612540      0.45439520       51928      0291      514
