z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.258224      7.555511      43.798700      -0.897332      2.907000      3.500000      0.893216      -0.047780      2.422535      139.99511830      -0.74628900      52000      0474      283
0.101576      7.500081      43.482600      -1.158002      2.828000      3.500000      0.751587      0.177341       2.396337      139.57848410      54.19546190      52000      0554      447
0.159692      7.735792      43.953600      -0.922712      2.704000      3.000000      0.842652      0.115102       2.563310      260.14016870      58.14150220      52017      0366      299
0.078888      7.525326      42.955700      -1.710147      2.101000      1.500000      0.601545      2.966056       2.482269      179.47645670      1.36806600       52017      0516      285
0.226355      8.541817      43.796300      -1.886038      1.767000      2.000000      0.756569      0.128915       2.579859      226.29098650      2.10035210       52017      0539      555
0.327352      8.837151      44.294800      -1.682871      2.819000      4.000000      0.818298      -1.237982      2.644360      203.76372640      1.25707840       52022      0528      211
0.216987      7.513632      43.836300      -0.817852      3.152000      4.000000      0.796460      -0.107297      2.573034      203.30180400      1.50666750       52022      0528      242
0.253223      7.675168      43.987800      -0.827888      3.126000      4.000000      0.859408      -0.744718      2.549058      183.42051720      -0.58026380      52023      0287      163
0.222851      8.139060      44.020600      -1.258981      3.290000      3.000000      0.851806      -0.935843      2.563128      239.28498560      2.95623120       52023      0595      479
0.133252      7.643054      43.145000      -1.638575      2.466000      3.500000      0.691877      0.512207       2.436130      181.56518720      3.60681740       52024      0517      368
0.239368      8.217375      44.106900      -1.250996      3.217000      4.500000      0.596042      -0.721974      2.491548      193.19357790      2.18834350       52024      0522      028
0.262675      7.873610      43.955500      -1.058630      3.223000      3.500000      0.907341      0.059634       2.742338      192.34020370      2.80256190       52024      0522      535
0.276773      7.880430      44.239300      -0.781650      2.658000      3.500000      0.818241      -0.748530      2.668204      220.63260770      1.73149010       52024      0536      227
0.173011      8.211735      43.741700      -1.610556      2.713000      3.000000      0.688603      0.414803       2.527804      206.18874280      2.59698350       52025      0592      364
0.287251      8.108430      43.940900      -1.308050      2.936000      4.000000      0.774007      -0.737471      2.488530      206.88691000      1.34364120       52026      0587      045
0.255697      7.709388      43.804200      -1.045709      2.848000      3.500000      0.680520      -0.280858      2.466128      221.88867670      3.14828170       52026      0593      474
0.183628      7.786377      43.864300      -1.062597      2.715000      1.500000      0.847204      2.787612       2.659925      195.99777940      3.65896260       52027      0524      449
0.139937      7.596442      43.695100      -1.041862      3.209000      4.000000      0.740081      -0.077648      2.596189      220.50729410      1.95104730       52027      0537      351
0.056491      7.558938      42.986300      -1.713158      2.409000      2.000000      0.588026      2.148403       2.495731      216.91642880      4.33731660       52027      0585      438
0.085522      7.474024      43.029300      -1.585245      2.484000      2.500000      0.841788      1.167409       2.412489      218.09851040      4.23311540       52027      0585      553
0.259434      7.882374      44.170200      -0.852695      3.006000      3.000000      0.923604      -0.047956      2.491224      210.38262550      2.23203130       52028      0531      078
0.094048      7.757969      43.464700      -1.433790      3.378000      3.000000      0.815746      0.053494       2.423907      222.98248270      4.92958000       52045      0588      419
0.222297      8.249566      43.680500      -1.709587      3.142000      2.500000      0.724449      0.008023       2.566499      252.19099960      40.44113730      52050      0630      578
0.109375      7.760530      43.187900      -1.713150      2.697000      1.500000      0.340430      3.103384       2.515997      177.66194810      2.14840470       52051      0515      269
0.348219      8.614474      44.285900      -1.469095      2.554000      4.000000      0.828951      -0.427786      2.838056      243.52950690      51.56515880      52051      0623      168
0.063195      7.196820      43.102800      -1.234541      1.647000      2.500000      0.949876      1.925692       2.444421      244.32602080      52.48472020      52051      0623      626
0.303123      8.010977      44.156500      -0.994998      2.804000      4.500000      0.858206      -1.288967      2.420188      242.92176270      47.37856770      52054      0622      101
0.181504      7.715163      43.629400      -1.226284      1.974000      2.500000      0.963623      0.586583       2.500633      212.83902730      5.20615370       52055      0583      339
0.238703      8.352387      43.989100      -1.503808      3.055000      5.000000      0.788493      -0.953351      2.494599      227.57264350      59.84326100      52055      0611      046
0.181543      7.797602      43.715200      -1.222923      2.922000      2.500000      0.908358      1.119419       2.784245      240.72157990      54.33835650      52056      0619      060
0.086632      7.515654      43.342000      -1.314175      1.856000      2.000000      0.752600      2.566686       2.523883      228.56320440      4.20084550       52057      0590      623
0.124887      7.948285      43.963500      -1.125305      3.261000      4.000000      0.913969      -1.509529      2.487177      172.17344460      63.59752730      52059      0597      217
0.113896      7.941363      43.436100      -1.645784      2.879000      2.500000      0.708827      2.035677       2.686180      173.96495930      64.79843900      52059      0597      554
0.179374      7.890125      43.413400      -1.617246      2.593000      3.500000      0.916935      -1.397827      2.467398      197.38693220      63.64620440      52072      0602      096
0.172346      7.584097      43.602200      -1.122418      3.283000      4.500000      0.768994      -0.711675      2.650175      236.00408810      55.56186820      52072      0617      130
0.207300      8.383537      43.815100      -1.708958      3.419000      3.500000      0.890751      -0.089525      2.454033      236.24038670      56.64730270      52072      0617      484
0.288146      7.697534      44.080700      -0.757355      2.914000      3.500000      0.817973      -0.798546      2.584306      206.68864210      63.92179510      52079      0604      503
0.163092      8.021328      43.920200      -1.241648      3.178000      2.000000      0.752366      0.386913       2.541620      229.46102100      56.96015730      52079      0612      108
0.309187      7.732301      44.098100      -0.774721      3.188000      3.500000      0.872694      -0.296766      2.483299      228.25624500      56.54138030      52079      0612      211
0.128852      7.713336      43.739600      -1.114257      2.979000      4.500000      0.670700      -0.095894      2.552514      252.16729890      42.92992030      52079      0631      325
0.170113      7.295189      43.415800      -1.019910      2.990000      4.500000      0.964192      -0.154071      2.318307      252.08676980      42.12886690      52079      0631      344
0.138467      7.899414      43.678400      -1.361534      3.105000      2.000000      0.848985      1.054325       2.481513      255.73548430      39.39594940      52079      0633      598
0.235387      7.547155      43.738200      -0.949476      2.782000      4.500000      0.821383      -0.791242      2.401829      255.88581440      40.01280990      52079      0633      610
0.353783      8.423392      44.160700      -1.403212      2.411000      2.500000      0.555561      -0.673811      2.605744      222.07030770      59.81809360      52081      0608      493
0.199250      7.717565      43.714600      -1.143486      2.758000      3.000000      0.491937      0.321709       2.465649      317.72534160      -6.53645290      52081      0638      496
0.371246      8.034467      44.572800      -0.602188      2.949000      4.500000      0.699733      -1.891510      2.726358      318.76918830      -6.78915660      52081      0638      639
