Ho      EP     EN    Year      Type
 71    +2     -2     2006.267    OC
 70    +2     -2     2006.39     SC
 74    +4     -4     2006.45     SC
 72    +6     -6     2006.5      S 
 76    +10    -8     2006.6      Z 
 56    +9     -7     2006.664    TS
 68    +8     -8     2006.739    LC
 74    +6     -6     2006.75     T 
 63    +5     -5     2006.8      FS
 77    +5     -5     2006.853    P 
 74    +4     -4     2006.917    ZC
 74    +6     -6     2006.93     AK
 49    +6     -11    2007.13     LC
 52    +4     -3     2007.72     LC
 76    +8     -8     2007.364    A 
 73    +8     -8     2007.591    S 
 71    +4     -4     2007.708    OC
 77    +7     -7     2007.903    O 
 61    +9     -8     2007.949    T 
 70    +1     -1     2008.175    CC
 71    +1     -2     2008.177    CC
 52    +4     -4     2008.833    2A
 62    +8     -4     2009.18     LC
 74    +4     -4     2009.45     S 
 64    +5     -5     2009.355    S 
 76    +25    -24    2009.36     2A
 72    +1     -1     2009.551    OM
 63    +2     -2     2010.277    AS
 73    +4     -4     2010.281    AK
 62    +6     -4     2010.689    LC
