# Matter power spectrum P(k) at redshift z=1
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.660857840094e-02       8.118931733522e+03 
       2.674545984285e-02       8.093379306960e+03 
       2.688253311172e-02       8.067768091234e+03 
       2.701980253265e-02       8.041891842518e+03 
       2.715727254222e-02       8.016107164541e+03 
       2.729494769174e-02       7.989988558122e+03 
       2.743283265076e-02       7.963799294135e+03 
       2.757093221056e-02       7.937533476445e+03 
       2.770925128788e-02       7.911173332176e+03 
       2.784779492874e-02       7.884770147156e+03 
       2.798656831242e-02       7.858250522657e+03 
       2.812557675556e-02       7.831552860582e+03 
       2.826482571649e-02       7.804819341558e+03 
       2.840432079965e-02       7.777970263529e+03 
       2.854406776019e-02       7.751104184982e+03 
       2.868407250883e-02       7.724123635174e+03 
       2.882434111679e-02       7.697017983478e+03 
       2.896487982102e-02       7.669927597384e+03 
       2.910569502960e-02       7.642682708672e+03 
       2.924679332731e-02       7.615462048547e+03 
       2.938818148154e-02       7.588212445784e+03 
       2.952986644832e-02       7.560750925308e+03 
       2.967185537870e-02       7.533385190291e+03 
       2.981415562530e-02       7.505753271396e+03 
       2.995677474926e-02       7.478206880062e+03 
       3.009972052734e-02       7.450628067248e+03 
       3.024300095943e-02       7.422978295239e+03 
       3.038662427637e-02       7.395343786241e+03 
       3.053059894805e-02       7.367471429987e+03 
       3.067493369194e-02       7.339722071915e+03 
       3.081963748193e-02       7.311903444651e+03 
       3.096471955766e-02       7.284044631966e+03 
       3.111018943415e-02       7.256207556134e+03 
       3.125605691194e-02       7.228388998991e+03 
       3.140233208775e-02       7.200442711394e+03 
       3.154902536547e-02       7.172391064474e+03 
       3.169614746783e-02       7.144450381640e+03 
       3.184370944855e-02       7.116426890951e+03 
       3.199172270507e-02       7.088394340557e+03 
       3.214019899187e-02       7.060368652426e+03 
       3.228915043450e-02       7.032309655932e+03 
       3.243858954427e-02       7.004265412141e+03 
       3.258852923362e-02       6.976207622436e+03 
       3.273898283235e-02       6.948078639395e+03 
       3.288996410460e-02       6.920015984958e+03 
       3.304148726669e-02       6.891902592702e+03 
       3.319356700599e-02       6.863834563784e+03 
       3.334621850063e-02       6.835713967112e+03 
       3.349945744031e-02       6.807589615835e+03 
       3.365330004827e-02       6.779432971781e+03 
       3.380776310435e-02       6.751329273459e+03 
       3.396286396938e-02       6.723287074138e+03 
       3.411862061083e-02       6.695186189087e+03 
       3.427505162998e-02       6.667046033348e+03 
       3.443217629055e-02       6.638945920067e+03 
       3.459001454898e-02       6.610964822036e+03 
       3.474858708643e-02       6.582798969073e+03 
       3.490791534268e-02       6.554729359274e+03 
       3.506802155196e-02       6.526710691354e+03 
       3.522892878099e-02       6.498670389990e+03 
       3.539066096924e-02       6.470602903537e+03 
       3.555324297165e-02       6.442594044110e+03 
       3.571670060404e-02       6.414573733532e+03 
       3.588106069126e-02       6.386571053793e+03 
       3.604635111847e-02       6.358589843998e+03 
       3.621260088561e-02       6.330656650709e+03 
       3.637984016546e-02       6.302663940583e+03 
       3.654810036549e-02       6.274726351053e+03 
       3.671741419379e-02       6.246865362653e+03 
       3.688781572942e-02       6.218881636483e+03 
       3.705934049765e-02       6.190984239043e+03 
       3.723202555023e-02       6.163099717671e+03 
       3.740590955142e-02       6.135203526014e+03 
       3.758103287006e-02       6.107354384185e+03 
       3.775743767824e-02       6.079522175826e+03 
       3.793516805718e-02       6.051740583457e+03 
       3.811427011096e-02       6.023840861695e+03 
       3.829479208872e-02       5.996027031377e+03 
       3.847678451622e-02       5.968223577007e+03 
       3.866030033749e-02       5.940421983967e+03 
       3.884539506765e-02       5.912613890245e+03 
       3.903212695780e-02       5.884831463821e+03 
       3.922055717329e-02       5.857069587998e+03 
       3.941074998658e-02       5.829295106133e+03 
       3.960277298617e-02       5.801510865084e+03 
       3.979669730323e-02       5.773762076954e+03 
       3.999259785769e-02       5.746039885242e+03 
       4.019055362587e-02       5.718235008440e+03 
       4.039064793189e-02       5.690472241616e+03 
       4.059296876547e-02       5.662704511264e+03 
       4.079760912889e-02       5.634876727244e+03 
       4.100466741648e-02       5.607158197192e+03 
       4.121424783023e-02       5.579298918679e+03 
       4.142646083574e-02       5.551454007377e+03 
       4.164142366316e-02       5.523606399632e+03 
       4.185926085861e-02       5.495751307956e+03 
       4.208010489205e-02       5.467909009343e+03 
       4.230409682879e-02       5.439929435325e+03 
       4.253138707251e-02       5.411952647008e+03 
       4.276213618907e-02       5.383967435124e+03 
       4.299651582176e-02       5.355918714241e+03 
       4.323470971014e-02       5.327897044741e+03 
       4.347691482675e-02       5.299678146232e+03 
       4.372334264809e-02       5.271501742155e+03 
       4.397422057899e-02       5.243224761895e+03 
       4.422979355281e-02       5.214887537129e+03 
       4.449032583360e-02       5.186442850507e+03 
       4.475610305095e-02       5.157979141587e+03 
       4.502743450392e-02       5.129385909418e+03 
       4.530465577670e-02       5.100700089805e+03 
       4.558813171716e-02       5.071907507015e+03 
       4.587825983858e-02       5.042987390608e+03 
       4.617547421737e-02       5.013933367124e+03 
       4.648024997343e-02       4.984749017419e+03 
       4.679310843808e-02       4.955374705818e+03 
       4.711462313633e-02       4.925840506245e+03 
       4.744542673739e-02       4.896098474459e+03 
       4.778621916136e-02       4.866202424703e+03 
       4.813777707216e-02       4.836097694869e+03 
       4.850096504009e-02       4.805644011353e+03 
       4.887674872396e-02       4.774941685648e+03 
       4.926621050739e-02       4.744036813789e+03 
       4.967056813086e-02       4.712748660331e+03 
       5.009119699740e-02       4.681111744172e+03 
       5.052965700323e-02       4.649086185638e+03 
       5.098772496582e-02       4.616587935312e+03 
       5.146743400368e-02       4.583595701804e+03 
       5.197112157935e-02       4.550080895403e+03 
       5.250148836656e-02       4.515895094813e+03 
       5.306167065974e-02       4.481097445979e+03 
       5.365532971666e-02       4.445440455339e+03 
       5.428676219783e-02       4.408721860306e+03 
       5.496103667412e-02       4.371036853489e+03 
       5.568416183560e-02       4.332205435608e+03 
       5.646329214182e-02       4.291758427539e+03 
