# Matter power spectrum P(k) at redshift z=0
# for k=1.05097e-05 to 5.16735 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.353112505380e-01       3.797169642423e+03 
       1.385675526020e-01       3.665548457911e+03 
       1.418238886554e-01       3.521014311749e+03 
       1.450802480171e-01       3.366922687146e+03 
       1.483366240364e-01       3.208373237702e+03 
       1.515930125219e-01       3.050621987832e+03 
       1.548494107868e-01       2.898411986502e+03 
       1.581058170682e-01       2.756539584346e+03 
       1.613622301744e-01       2.628226558138e+03 
       1.646186492692e-01       2.515509539859e+03 
       1.678750737407e-01       2.419002086283e+03 
       1.711315031210e-01       2.338229045801e+03 
       1.743879370362e-01       2.271757685895e+03 
       1.776443751761e-01       2.216980069271e+03 
       1.809008172748e-01       2.171212561463e+03 
       1.841572630988e-01       2.131642807450e+03 
       1.874137124391e-01       2.095211963422e+03 
       1.906701651060e-01       2.058569516346e+03 
       1.939266209257e-01       2.019622823268e+03 
       1.971830797376e-01       1.976359019391e+03 
       2.004395413930e-01       1.928060999320e+03 
       2.036960057533e-01       1.874718735513e+03 
       2.069524726891e-01       1.817211011986e+03 
       2.102089420795e-01       1.756892802490e+03 
       2.134654138111e-01       1.695196601609e+03 
       2.167218877773e-01       1.633925438405e+03 
       2.199783638780e-01       1.574640843915e+03 
       2.232348420192e-01       1.518516255668e+03 
       2.264913221122e-01       1.466731413163e+03 
       2.297478040734e-01       1.419999241384e+03 
       2.330042878238e-01       1.378482282593e+03 
       2.362607732890e-01       1.342298787123e+03 
       2.395172603986e-01       1.310899782760e+03 
       2.427737490860e-01       1.283658160013e+03 
       2.460302392880e-01       1.259611759014e+03 
       2.492867309450e-01       1.237794217260e+03 
       2.525432240003e-01       1.217052175159e+03 
       2.557997184002e-01       1.196655040442e+03 
       2.590562140936e-01       1.175696890356e+03 
       2.623127110320e-01       1.153725269791e+03 
       2.655692091694e-01       1.130426371034e+03 
       2.688257084620e-01       1.105656209246e+03 
       2.720822088680e-01       1.079559843976e+03 
       2.753387103477e-01       1.052423243549e+03 
       2.785952128632e-01       1.024737340796e+03 
       2.818517163785e-01       9.970439928496e+02 
       2.851082208589e-01       9.699289696148e+02 
       2.883647262718e-01       9.438512993290e+02 
       2.916212325856e-01       9.192705128122e+02 
       2.948777397704e-01       8.964060060147e+02 
       2.981342477974e-01       8.754318797256e+02 
       3.013907566392e-01       8.562631990338e+02 
       3.046472662696e-01       8.388404118980e+02 
       3.079037766633e-01       8.229797742389e+02 
       3.111602877964e-01       8.083634856239e+02 
       3.144167996457e-01       7.947483566704e+02 
       3.176733121890e-01       7.817886922921e+02 
       3.209298254051e-01       7.691442046907e+02 
       3.241863392738e-01       7.565016075652e+02 
       3.274428537753e-01       7.437321273555e+02 
       3.306993688909e-01       7.306414887333e+02 
       3.339558846026e-01       7.172305611585e+02 
       3.372124008929e-01       7.034425708089e+02 
       3.404689177453e-01       6.894258083903e+02 
       3.437254351437e-01       6.753010529126e+02 
       3.469819530725e-01       6.612382543160e+02 
       3.502384715171e-01       6.472970269054e+02 
       3.534949904629e-01       6.337330438068e+02 
       3.567515098963e-01       6.206350660030e+02 
       3.600080298040e-01       6.081345502606e+02 
       3.632645501731e-01       5.962800286484e+02 
       3.665210709914e-01       5.851532961379e+02 
       3.697775922468e-01       5.746864287427e+02 
       3.730341139278e-01       5.648738404304e+02 
       3.762906360235e-01       5.555767790443e+02 
       3.795471585230e-01       5.467246124406e+02 
       3.828036814160e-01       5.381665864666e+02 
       3.860602046925e-01       5.298952183497e+02 
