 ID    Name                            RA-s               Dec-s            RA            Dec         Type      Velocity         Redshift
 82    ABELL S1063:[KCC2017] NE-061    22h48m44.5536s    -44d31m52.464s    342.18564    -44.53124    G         104627.567842    0.3490
 83    SSTSL2 J224843.80-443136.8      22h48m43.8144s    -44d31m36.768s    342.18256    -44.52688    IrS       104447.692367    0.3484
 84    ABELL S1063:[KCC2017] NE-005    22h48m45.4128s    -44d31m16.248s    342.18922    -44.52118    G          79055.271174    0.2637
 85    ABELL S1063:[KCC2017] NE-004    22h48m45.3840s    -44d31m16.176s    342.18910    -44.52116    G          79055.271174    0.2637
 86    ABELL S1063:[KCC2017] NE-024    22h48m43.9080s    -44d31m29.820s    342.18295    -44.52495    G         102109.311194    0.3406
 87    WISEA J224847.34-443124.2       22h48m47.3472s    -44d31m23.700s    342.19728    -44.52325    IrS       105227.152758    0.3510
 88    ABELL S1063:[KCC2017] NE-073    22h48m44.0472s    -44d31m48.396s    342.18353    -44.53011    G         105826.737674    0.3530
 89    SSTSL2 J224847.16-443120.8      22h48m47.2008s    -44d31m21.360s    342.19667    -44.52260    G          72369.899361    0.2414
 90    SSTSL2 J224845.97-443200.1      22h48m45.8640s    -44d31m58.620s    342.19110    -44.53295    IrS       104507.650858    0.3486
 91    SSTSL2 J224846.71-443156.5      22h48m46.7088s    -44d31m56.208s    342.19462    -44.53228    IrS       105526.945216    0.3520
 92    [IKO2018] HFF5C-4374-1338       22h48m43.7407s    -44d31m33.862s    342.18225    -44.52607    G        2476285.703080    8.2600
 93    ABELL S1063:[DBW2016] 51.1      22h48m47.3880s    -44d31m50.280s    342.19745    -44.53063    G_Lens    797447.938280    2.6600
 94    SSTSL2 J224845.15-443158.2      22h48m45.1488s    -44d31m58.116s    342.18812    -44.53281    IrS       101539.705524    0.3387
 95    LCRS B224549.3-444744           22h48m44.0832s    -44d31m50.016s    342.18368    -44.53056    G         104387.733875    0.3482
 96    SSTSL2 J224846.91-443157.0      22h48m46.9320s    -44d31m55.653s    342.19555    -44.53212    G_Lens    644553.784700    2.1500
 97    ABELL S1063:[KCC2017] NE-023    22h48m46.9128s    -44d31m56.784s    342.19547    -44.53244    G         101959.414965    0.3401
 98    [BVR2013] J224844.75-443116.3   22h48m44.7408s    -44d31m16.176s    342.18642    -44.52116    G_Lens    365746.798760    1.2200
 99    RXC J2248.7-4431:[MSG2014] 02c  22h48m44.7312s    -44d31m16.071s    342.18638    -44.52113    G_Lens    368444.930882    1.2290
100    ABELL S1063:[KCC2017] NE-100    22h48m47.2824s    -44d31m19.632s    342.19701    -44.52212    IrS      1766976.747452    5.8940
101    DES J2248-4431                  22h48m43.9632s    -44d31m50.880s    342.18318    -44.53080    VisS      809439.636600    2.7000
102    ABELL S1063:[DBW2016] 12.5      22h48m44.1648s    -44d31m53.724s    342.18402    -44.53159    G_Lens   1831731.918380    6.1100
103    ABELL S1063:[KCC2017] NE-006    22h48m45.5256s    -44d31m12.216s    342.18969    -44.52006    G          79175.188157    0.2641
104    ABELL S1063:[KCC2017] NE-060    22h48m44.8056s    -44d31m14.196s    342.18669    -44.52061    G         104597.588596    0.3489
105    ABELL S1063:[KCC2017] NE-008    22h48m44.9424s    -44d31m13.368s    342.18726    -44.52038    IrS        98301.946978    0.3279
106    SSTSL2 J224848.08-443130.8      22h48m48.0720s    -44d31m30.684s    342.20030    -44.52519    G         105766.779182    0.3528
107    SSTSL2 J224844.53-443159.6      22h48m44.5200s    -44d31m58.980s    342.18550    -44.53305    IrS       104327.775384    0.3480
108    ABELL S1063:[KCC2017] NE-047    22h48m43.4664s    -44d31m45.264s    342.18111    -44.52924    G         103848.107451    0.3464
109    SSTSL2 J224848.06-443138.0      22h48m48.2040s    -44d31m38.028s    342.20085    -44.52723    IrS       103008.688568    0.3436
110    SSTSL2 J224846.25-443111.3      22h48m46.2480s    -44d31m11.136s    342.19270    -44.51976    IrS       103338.460272    0.3447
111    SSTSL2 J224845.92-443203.8      22h48m45.9288s    -44d32m03.588s    342.19137    -44.53433    IrS       105886.696165    0.3532
112    ABELL S1063:[LBL2018] clu018    22h48m47.9300s    -44d31m50.600s    342.19970    -44.53072    G        1852717.390440    6.1800
