

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.


queryDateTime:2007-11-21T06:10:20PST



Main Information Table for ABELL 0085



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|pos_ra_equ|pos_dec_equ|Object Type|Velocity|Redshift|Redshift_flag|DistanceArcmin|Number of References|Number of Notes|Number of Photometry Data Points|Number of Position Data Points|Number of Redshift Data Points|Number of Diameter Data Points|Number of Associations
120|ABELL 0085:[SDG98] 0110|  9.50908 |  -8.91828 |G|||||1|0|0|0|0|0|0
121|APMUKS(BJ) B003530.34-094654.0|  9.50967 |  -9.50681 |G|||||1|0|1|1|0|0|0
122|APMUKS(BJ) B003530.49-092836.4|  9.51054 |  -9.20175 |G|||||1|0|1|1|0|0|0
123|2MASX J00380259-0911246|  9.51091 |  -9.19012 |G| 11117| 0.037081 |    ||1|0|30|2|2|6|0
124|APMUKS(BJ) B003530.85-092713.6|  9.51204 |  -9.17881 |G|||||1|0|1|1|0|0|0
125|ABELL 0085:[SDG98] 0115|  9.51258 |  -9.72725 |G|||||1|0|0|0|0|0|0
126|ABELL 0085:[SDG98] 0116|  9.51300 | -10.05806 |G|||||1|0|0|0|0|0|0
127|SDSS J003803.16-095521.6|  9.51320 |  -9.92267 |G|105483| 0.351855 |    ||1|0|20|1|1|4|0
128|APMUKS(BJ) B003531.24-094404.3|  9.51337 |  -9.45958 |G|||||1|0|1|1|0|0|0
129|APMUKS(BJ) B003531.21-091807.8|  9.51362 |  -9.02728 |G|||||1|0|1|1|0|0|0
130|ABELL 0085:[SDG98] 0120|  9.51388 |  -9.05489 |G|||||1|0|0|0|0|0|0
131|APMUKS(BJ) B003531.30-090845.8|  9.51408 |  -8.87117 |G|||||1|0|1|1|0|0|0
132|ABELL 0085:[SDG98] 0122|  9.51450 |  -8.34933 |G|||||1|0|0|0|0|0|0
133|ABELL 0085:[SDG98] 0123|  9.51475 |  -9.03036 |G|||||1|0|0|0|0|0|0
134|APMUKS(BJ) B003531.61-092718.0|  9.51504 |  -9.18014 |G|||||1|0|1|1|0|0|0
135|APMUKS(BJ) B003531.77-101444.3|  9.51521 |  -9.97086 |G|||||1|0|1|1|0|0|0
136|APMUKS(BJ) B003531.66-090700.5|  9.51550 |  -8.84225 |G|||||1|0|1|1|0|0|0
137|ABELL 0085:[SDG98] 0127|  9.51683 |  -8.32708 |G|||||1|0|0|0|0|0|0
138|APMUKS(BJ) B003532.18-090618.1|  9.51775 |  -8.83019 |G|||||1|0|1|1|0|0|0
139|APMUKS(BJ) B003532.20-091048.9|  9.51775 |  -8.90544 |G|||||1|0|1|1|0|0|0
140|APMUKS(BJ) B003532.29-092234.9|  9.51800 |  -9.10147 |G|||||1|0|1|1|0|0|0
141|APMUKS(BJ) B003532.56-103047.5|  9.51829 | -10.23833 |G|||||1|0|1|1|0|0|0
142|APMUKS(BJ) B003532.88-102608.1|  9.51958 | -10.16069 |G|||||1|0|1|1|0|0|0
143|ABELL 0085:[SDG98] 0133|  9.52050 |  -8.61514 |G|||||1|0|0|0|0|0|0
144|ABELL 0085:[SDG98] 0134|  9.52158 |  -8.61889 |G|||||1|0|0|0|0|0|0
145|ABELL 0085:[SDG98] 0135|  9.52229 |  -9.10786 |G|||||1|0|0|0|0|0|0
146|APMUKS(BJ) B003533.62-101114.4|  9.52292 |  -9.91264 |G|||||1|0|1|1|0|0|0
147|APMUKS(BJ) B003533.51-084212.6|  9.52358 |  -8.42869 |G|||||1|0|1|1|0|0|0
148|APMUKS(BJ) B003533.69-093407.6|  9.52367 |  -9.29397 |G|||||1|0|1|1|0|0|0
149|APMUKS(BJ) B003533.81-093710.8|  9.52417 |  -9.34486 |G|||||1|0|1|1|0|0|0
150|APMUKS(BJ) B003534.09-093218.0|  9.52546 |  -9.26342 |G|||||1|0|1|1|0|0|0
151|APMUKS(BJ) B003534.34-091742.3|  9.52662 |  -9.02022 |G|||||1|0|1|1|0|0|0
152|APMUKS(BJ) B003534.42-084726.9|  9.52750 |  -8.51603 |G|||||1|0|1|1|0|0|0
153|APMUKS(BJ) B003534.70-094528.4|  9.52779 |  -9.48297 |G|||||1|0|1|1|0|0|0
154|APMUKS(BJ) B003534.83-101416.6|  9.52800 |  -9.96319 |G|||||1|0|1|1|0|0|0
155|ABELL 0085:[SDG98] 0145|  9.52858 |  -8.62214 |G|||||1|0|0|0|0|0|0
156|ABELL 0085:[SDG98] 0146|  9.52900 |  -8.93669 |G|||||1|0|0|0|0|0|0
157|APMUKS(BJ) B003535.09-093700.1|  9.52942 |  -9.34186 |G|||||1|0|1|1|0|0|0
158|APMUKS(BJ) B003535.36-102547.3|  9.52996 | -10.15503 |G|||||1|0|1|1|0|0|0
159|ABELL 0085:[SDG98] 0149|  9.53079 |  -9.47308 |G|||||1|0|0|0|0|0|0
160|2MASX J00380746-0829116|  9.53092 |  -8.48664 |G|||||1|0|9|1|0|2|0
161|APMUKS(BJ) B003535.39-084609.6|  9.53133 |  -8.49456 |G|||||1|0|1|1|0|0|0
162|APMUKS(BJ) B003535.51-084714.1|  9.53192 |  -8.51247 |G|||||1|0|1|1|0|0|0
163|APMUKS(BJ) B003535.72-092704.9|  9.53217 |  -9.17653 |G|||||1|0|1|1|0|0|0
164|APMUKS(BJ) B003535.87-085124.5|  9.53333 |  -8.58200 |G|||||1|0|1|1|0|0|0
165|ABELL 0085:[SDG98] 0155|  9.53421 |  -9.60939 |G|||||1|0|0|0|0|0|0
166|ABELL 0085:[SDG98] 0156|  9.53504 |  -9.21903 |G|||||1|0|0|0|0|0|0
167|ABELL 0085:[SDG98] 0157|  9.53650 |  -8.39800 |G|||||1|0|0|0|0|0|0
168|ABELL 0085:[SDG98] 0158|  9.53654 | -10.22156 |G|||||1|0|0|0|0|0|0
