Name1                RA          DEC       z       Morp     R50   IC     L_K     L_Age   O3Hb    N2Hb   Act  L_Ha  Sigma L5100  Bulge   MB       O/H     BMAG    
J142757.71+625609.3  216.99046  +62.93592  0.0363  EarlyS   9.8   1.96   10.81    9.30   0.328   0.079  AGN  6.09   101  42.80   9.40   11.11   -0.22   -19.46      
J114743.68+014934.3  176.93204  +01.82622  0.0285  EarlyS  12.0   2.31   10.87    9.49   0.977   0.055  AGN  6.53   154  42.77   9.66   10.97   -0.66   -19.12      
J133548.24+025956.1  203.95103  +02.99893  0.0218  EarlyS  10.1   2.37   11.02    8.68   0.535   0.080  AGN  7.19   152  42.90   9.53   11.04   -0.36   -19.28   
J092335.85+533606.9  140.89940  +53.60192  0.0255  EarlyS   6.6   3.07   10.94    9.32   0.605   0.298  AGN  6.59   172  42.99   9.71   10.81   -0.41   -18.76   
J093011.75+555108.7  142.54898  +55.85242  0.0252  LateS    8.4   3.63   10.92    8.75  -0.682  -0.309  SFG  7.59   123  43.16   9.41   10.96   +0.48   -19.47   
J102509.88+580859.9  156.29120  +58.15000  0.0072  LateS    2.7   1.75    9.68    8.74  -0.448  -0.478  SFG  5.53    81  41.43   8.50    9.86   +0.32   -16.98   
J102824.15+594550.9  157.10065  +59.76416  0.0310  EarlyS   9.0   2.51   10.81    9.24  -0.214  -0.144  TO   6.45   128  42.85   9.54   10.86   +0.16   -18.87   
J103111.52+605605.3  157.79801  +60.93483  0.0311  EarlyS   7.9   2.49   10.69    9.25   0.455  -0.075  AGN  6.38   118  42.63   9.47   10.83   -0.30   -18.76   
J105225.08+594107.9  163.10452  +59.68554  0.0278  LateS    8.3   2.29   10.80    8.84  -0.583  -0.425  SFG  6.72   109  42.75   9.35   11.04   +0.41   -19.69   
J093141.63+043000.1  142.92349  +04.50003  0.0181  Early    6.8   3.29   10.90    9.72   0.449   0.290  AGN  6.11   173  43.10   9.56   11.07   -0.30   -18.87   
J095145.09+031620.6  147.93789  +03.27239  0.0346  EarlyS   8.6   2.46   10.88    9.06   0.256  -0.235  TO   6.90   133  42.93   9.62   11.10   -0.17   -19.43   
J100616.91+034939.9  151.57049  +03.82775  0.0227  EarlyS   8.3   2.38   10.79    9.59   0.399   0.154  AGN  5.97   168  42.84   9.64   10.88   -0.27   -18.90   
J100453.90+050345.4  151.22461  +05.06264  0.0132  Early    6.4   3.42   10.56    9.93   0.027  -0.134  TO   5.48   230  42.66   9.68   10.72   -0.01   -17.99   
J102453.07+035047.7  156.22115  +03.84660  0.0230  LateS    7.7   2.13   10.44    8.58  -0.003  -0.223  TO   5.80    90  42.30   9.10   10.62   +0.01   -18.62      
J143933.10+620010.5  219.88794  +62.00292  0.0223  EarlyS   9.1   2.21   10.78    9.03  -0.167  -0.072  TO   6.83   137  42.78   9.45   10.93   +0.13   -19.02   
J163446.00+451927.5  248.69170  +45.32432  0.0248  LateS    9.1   1.93   10.55    9.37  -0.445  -0.260  TO   6.08    84  42.15   9.07   10.69   +0.32   -18.80   
J165031.26+414837.2  252.63027  +41.81035  0.0288  EarlyS  10.0   2.55   10.76    9.02  -0.185  -0.247  TO   6.44   123  42.47   9.47   10.65   +0.14   -18.32   
J165850.68+400716.1  254.71120  +40.12116  0.0289  Early   10.3   3.27   11.11    9.80   0.715   0.201  AGN  6.54   209  43.24   9.93   11.26   -0.48   -19.33   
J203623.47-043707.4  309.09781  -04.61874  0.0208  EarlyS  12.4   2.12   11.15    9.35  -0.411  -0.360  SFG  6.67   165  42.84   9.58   11.06   +0.29   -19.33      
J234152.63-083853.4  355.46932  -08.64819  0.0340  EarlyS  17.3   2.96   11.34    9.71   0.803   0.222  AGN  7.17   174  43.04   9.84   11.20   -0.54   -19.73   
J002151.15-092932.1  005.46314  -09.49225  0.0209  EarlyS   7.6   2.72   10.59    9.15  -0.658  -0.356  SFG  7.25   123  42.52   9.33   10.62   +0.46   -18.23   
J225239.26-091604.0  343.16360  -09.26779  0.0149  EarlyS   5.4   3.13   10.73    9.60   0.568  -0.092  AGN  6.21   121  42.54   9.17   10.29   -0.38   -17.42   
J230658.16-091710.1  346.74237  -09.28615  0.0238  EarlyS   9.0   3.00   11.08   10.02   0.248   0.163  AGN  5.93   210  43.12   9.85   10.91   -0.16   -19.00   
J212148.84+103921.8  320.45350  +10.65607  0.0168  Early    6.2   3.13   10.55   10.00   0.451   0.192  AGN  5.65   168  42.67   9.50   10.77   -0.30   -18.11   
J214020.88+122117.2  325.08700  +12.35481  0.0195  EarlyS   6.1   2.65   10.56    9.24  -0.426  -0.357  SFG  6.63   124  42.22   9.31   10.60   +0.30   -18.18   
J215038.41+131717.4  327.66006  +13.28817  0.0202  EarlyS   6.4   3.33   11.00    9.70   0.281   0.266  AGN  6.25   167  42.99   9.58   10.90   -0.18   -18.98   
J215652.70+121857.9  329.21962  +12.31611  0.0302  EarlyS  10.2   2.06   10.67    9.05  -0.764  -0.433  SFG  6.86   112  42.73   9.41   10.92   +0.54   -18.99   
J232923.57+141215.4  352.34821  +14.20429  0.0416  LateS   13.7   1.77   11.02    9.48  -0.114  -0.241  TO   6.41   106  42.77   9.50   11.21   +0.09   -20.11   
J081422.02+391504.8  123.59176  +39.25135  0.0277  EarlyS  12.1   2.70   10.65    8.94  -0.656  -0.324  SFG  7.39   114  42.81   9.39   10.99   +0.46   -19.16   
J082922.49+432131.2  127.34372  +43.35867  0.0312  EarlyS   8.9   2.49   10.87    8.85  -0.469  -0.303  SFG  7.03   124  42.61   9.51   10.84   +0.33   -18.79   
J083909.27+450747.7  129.78866  +45.12994  0.0380  EarlyS  14.9   2.10   10.95    8.98  -0.610  -0.385  SFG  6.84   112  42.80   9.51   11.16   +0.43   -19.58   
J090058.50+474743.3  135.24377  +47.79537  0.0105  EarlyS   3.8   3.04   10.03    9.35   0.401  -0.120  AGN  5.51    98  41.95   8.83   10.02   -0.27   -16.73   
J092102.64+493608.2  140.26101  +49.60229  0.0275  EarlyS  12.8   2.73   11.06    9.85  -0.383  -0.291  TO   6.93   156  42.71   9.65   11.12   +0.27   -19.48   
J104636.85+631327.2  161.65356  +63.22424  0.0035  LateS    3.8   2.00    9.96    7.95  -0.193  -0.485  SFG  4.76    81  40.99   8.19    9.63   +0.14   -16.4    
J152546.70+522641.0  231.44459  +52.44474  0.0195  EarlyS  12.0   2.59   10.79    8.95  -0.024  -0.261  TO   5.77   139  42.03   9.40   10.52   +0.03   -17.99     
J084505.72+403334.1  131.27385  +40.55950  0.0291  EarlyS   8.2   2.41   10.76    9.07  -0.602  -0.450  SFG  6.85   101  42.69   9.30   11.04   +0.43   -19.28   
J085741.79+430738.9  134.42415  +43.12747  0.0308  EarlyS  10.3   2.66   11.03    9.00  -0.071  -0.227  TO   7.08   149  43.04   9.67   11.31   +0.06   -19.97   
J091214.52+445717.4  138.06051  +44.95485  0.0088  LateS    6.9   2.22   10.65    8.94  -0.247  -0.326  TO   6.00    92  42.07   8.70   10.56   +0.18   -18.48   
J092110.80+455316.1  140.29503  +45.88782  0.0064  LateS    0.3   2.21    9.41    8.46  -0.432  -0.378  SFG  5.25    79  41.20   8.43    8.25   +0.31   -12.95   
J093923.05+470736.5  144.84607  +47.12683  0.0273  EarlyS   8.6   2.92   10.97    9.28  -0.190  -0.135  TO   6.67   159  42.83   9.67   10.86   +0.14   -18.85   
J094058.13+473713.6  145.24225  +47.62045  0.0161  LateS    8.4   2.52   10.53    8.80  -0.515  -0.433  SFG  6.60   105  42.08   9.08   10.60   +0.37   -18.57   
