PSO Pan-STARRS1    Identifier RAdeg    DECdeg     Period    PM
PSO J011.4059+42.2606 2483822 11.40590 42.26060   2.879905  0.000292
PSO J011.5887+42.2600 2483911 11.58871 42.26004   2.709531  0.000125
PSO J011.5520+42.2761 2488339 11.55204 42.27614   2.677794  0.000129
PSO J011.6405+42.2862 2491124 11.64050 42.28617   2.065611  0.000138
PSO J011.4305+42.2972 2493704 11.43048 42.29716   2.339199  0.000169
PSO J011.4659+42.2998 2494441 11.46591 42.29978   2.909109  0.000258
PSO J011.6076+42.3150 2498015 11.60759 42.31502   2.405165  0.000155
PSO J011.6229+42.3203 2499264 11.62295 42.32026   2.475262  0.000099
PSO J011.5882+42.3227 2499739 11.58816 42.32272   2.895551  0.000166
PSO J011.5518+42.3491 2505468 11.55184 42.34910   2.791824  0.000146
PSO J011.4606+42.3502 2505626 11.46062 42.35019   2.165275  0.000092
PSO J011.6684+42.3544 2506855 11.66836 42.35445   2.822353  0.000193
PSO J011.6021+42.3574 2507438 11.60214 42.35735   2.702079  0.000191
PSO J011.5106+42.3620 2508346 11.51058 42.36204   2.892053  0.000267
PSO J011.5416+42.3760 2511008 11.54157 42.37598   2.248353  0.000124
PSO J011.6749+42.3783 2511620 11.67485 42.37833   2.507957  0.000181
PSO J011.5443+42.3828 2512368 11.54427 42.38277   2.701146  0.000156
PSO J011.5959+42.3945 2514819 11.59586 42.39450   2.256596  0.000140
PSO J011.6030+42.3965 2515213 11.60303 42.39648   2.258650  0.000110
PSO J011.4982+42.4061 2516969 11.49824 42.40608   2.672523  0.000129
PSO J011.6265+42.4057 2517036 11.62653 42.40575   2.911964  0.000154
PSO J011.6029+42.4063 2517118 11.60290 42.40629   2.791448  0.000207
PSO J011.6419+42.4118 2518161 11.64191 42.41179   2.886385  0.000231
PSO J011.5655+42.4184 2519343 11.56553 42.41845   2.843614  0.000195
PSO J011.6486+42.4365 2522606 11.64863 42.43651   2.122587  0.000074
PSO J011.7138+42.4530 2525251 11.71382 42.45297   2.085408  0.000122
PSO J011.2314+42.1797 2535175 11.23140 42.17969   2.032877  0.000164
PSO J011.2546+42.1961 2538072 11.25457 42.19611   2.837782  0.000340
PSO J011.2682+42.2803 2553571 11.26820 42.28032   2.035477  0.000142
PSO J010.5131+40.4566 2720476 10.51310 40.45661   2.142702  0.138683
PSO J010.5490+40.4926 2726176 10.54899 40.49257   2.291684  0.000232
PSO J010.5577+40.5604 2739213 10.55768 40.56037   2.609613  0.000197
PSO J010.1251+40.3968 2781329 10.12511 40.39677   2.724700  0.000155
PSO J010.3448+40.4271 2785736 10.34484 40.42713   2.170685  0.000157
PSO J010.0373+40.4303 2786461 10.03727 40.43033   2.837314  0.000862
PSO J010.3166+40.4635 2791757 10.31663 40.46346   2.524795  0.000211
PSO J010.1676+40.4709 2793617 10.16764 40.47090   2.957702  0.000474
PSO J010.1115+40.5051 2803768 10.11147 40.50513   2.370733  0.000229
PSO J010.1419+40.5144 2806586 10.14190 40.51437   2.460539  0.000215
PSO J010.3209+40.5213 2808661 10.32086 40.52131   2.661609  0.000190
PSO J009.9678+40.5197 2808876 09.96779 40.51970   2.296369  0.000211
PSO J010.2073+40.5477 2818306 10.20726 40.54772   2.679087  0.000238
PSO J010.0862+40.5720 2828393 10.08615 40.57199   2.888588  0.000211
PSO J010.0950+40.5876 2835679 10.09500 40.58757   2.974077  0.000219
PSO J010.2011+40.6036 2841528 10.20105 40.60357   2.928924  0.708569
PSO J009.8098+40.3856 2902544 09.80978 40.38563   2.756726  0.000224
PSO J009.7761+40.4963 2927513 09.77613 40.49633   2.777810  0.000241
PSO J009.6325+40.5509 2943632 09.63252 40.55090   2.520314  0.000234
PSO J009.5902+40.5640 2947509 09.59024 40.56395   2.148435  0.000095
